sample,snv_count,indel_count,fusion_count
TCGA-BF-A1PV,1984,26,4
TCGA-BF-A3DJ,1493,13,9
TCGA-BF-A3DL,2133,22,11
TCGA-BF-A3DM,3972,73,16
TCGA-BF-A3DN,2093,30,5
TCGA-BF-A5EO,2947,41,9
TCGA-BF-A5EP,2134,47,10
TCGA-BF-A5EQ,2822,38,23
TCGA-BF-A5ER,2684,37,3
TCGA-BF-A5ES,2283,32,8
TCGA-BF-AAOU,3452,47,7
TCGA-BF-AAOX,5294,48,5
TCGA-BF-AAP1,3631,32,12
TCGA-BF-AAP2,5025,48,8
TCGA-BF-AAP4,4282,31,15
TCGA-BF-AAP6,4936,64,14
TCGA-BF-AAP7,3592,40,6
TCGA-BF-AAP8,4885,84,5
TCGA-D3-A5GT,2951,34,2
TCGA-D9-A3Z4,4967,46,7
TCGA-D9-A4Z2,544,3,9
TCGA-D9-A4Z3,3160,38,24
TCGA-EB-A1NK,4331,61,8
TCGA-EB-A3HV,1782,24,8
TCGA-EB-A3XB,5135,25,7
TCGA-EB-A3XC,3880,35,16
TCGA-EB-A3XD,3462,15,5
TCGA-EB-A3XE,3482,15,8
TCGA-EB-A3XF,2488,155,6
TCGA-EB-A41A,4746,41,5
