sample,MHC_Class,count,category
TCGA-BF-A1PV,MHC I,15,genetic
TCGA-BF-A1PV,MHC II,21,genetic
TCGA-BF-A3DJ,MHC I,11,genetic
TCGA-BF-A3DJ,MHC II,18,genetic
TCGA-BF-A3DL,MHC I,8,genetic
TCGA-BF-A3DL,MHC II,26,genetic
TCGA-BF-A3DM,MHC I,36,genetic
TCGA-BF-A3DM,MHC II,44,genetic
TCGA-BF-A3DN,MHC I,7,genetic
TCGA-BF-A3DN,MHC II,8,genetic
TCGA-BF-A5EO,MHC I,55,genetic
TCGA-BF-A5EO,MHC II,56,genetic
TCGA-BF-A5EP,MHC I,16,genetic
TCGA-BF-A5EP,MHC II,22,genetic
TCGA-BF-A5EQ,MHC I,42,genetic
TCGA-BF-A5EQ,MHC II,41,genetic
TCGA-BF-A5ER,MHC I,16,genetic
TCGA-BF-A5ER,MHC II,16,genetic
TCGA-BF-A5ES,MHC I,52,genetic
TCGA-BF-A5ES,MHC II,53,genetic
TCGA-BF-AAOU,MHC I,21,genetic
TCGA-BF-AAOU,MHC II,21,genetic
TCGA-BF-AAOX,MHC I,88,genetic
TCGA-BF-AAOX,MHC II,80,genetic
TCGA-BF-AAP1,MHC I,70,genetic
TCGA-BF-AAP1,MHC II,68,genetic
TCGA-BF-AAP2,MHC I,65,genetic
TCGA-BF-AAP2,MHC II,93,genetic
TCGA-BF-AAP4,MHC I,15,genetic
TCGA-BF-AAP4,MHC II,19,genetic
TCGA-BF-AAP6,MHC I,8,genetic
TCGA-BF-AAP6,MHC II,8,genetic
TCGA-BF-AAP7,MHC I,4,genetic
TCGA-BF-AAP7,MHC II,4,genetic
TCGA-BF-AAP8,MHC I,1,genetic
TCGA-BF-AAP8,MHC II,1,genetic
TCGA-D3-A5GT,MHC I,1,genetic
TCGA-D3-A5GT,MHC II,1,genetic
TCGA-D9-A3Z4,MHC I,6,genetic
TCGA-D9-A3Z4,MHC II,25,genetic
TCGA-D9-A4Z2,MHC I,1,genetic
TCGA-D9-A4Z2,MHC II,1,genetic
TCGA-D9-A4Z3,MHC I,57,genetic
TCGA-D9-A4Z3,MHC II,58,genetic
TCGA-EB-A1NK,MHC I,8,genetic
TCGA-EB-A1NK,MHC II,8,genetic
TCGA-EB-A3HV,MHC I,1,genetic
TCGA-EB-A3HV,MHC II,1,genetic
TCGA-EB-A3XB,MHC I,27,genetic
TCGA-EB-A3XB,MHC II,26,genetic
TCGA-EB-A3XC,MHC I,28,genetic
TCGA-EB-A3XC,MHC II,50,genetic
TCGA-EB-A3XD,MHC I,1,genetic
TCGA-EB-A3XD,MHC II,1,genetic
TCGA-EB-A3XE,MHC I,0,genetic
TCGA-EB-A3XE,MHC II,0,genetic
TCGA-EB-A3XF,MHC I,44,genetic
TCGA-EB-A3XF,MHC II,40,genetic
TCGA-EB-A41A,MHC I,113,genetic
TCGA-EB-A41A,MHC II,110,genetic
TCGA-BF-A1PV,MHC I,2,fusion
TCGA-BF-A1PV,MHC II,2,fusion
TCGA-BF-A3DJ,MHC I,1,fusion
TCGA-BF-A3DJ,MHC II,2,fusion
TCGA-BF-A3DL,MHC I,1,fusion
TCGA-BF-A3DL,MHC II,5,fusion
TCGA-BF-A3DM,MHC I,3,fusion
TCGA-BF-A3DM,MHC II,3,fusion
TCGA-BF-A3DN,MHC I,1,fusion
TCGA-BF-A3DN,MHC II,2,fusion
TCGA-BF-A5EO,MHC I,1,fusion
TCGA-BF-A5EO,MHC II,1,fusion
TCGA-BF-A5EP,MHC I,5,fusion
TCGA-BF-A5EP,MHC II,8,fusion
TCGA-BF-A5EQ,MHC I,24,fusion
TCGA-BF-A5EQ,MHC II,20,fusion
TCGA-BF-A5ER,MHC I,0,fusion
TCGA-BF-A5ER,MHC II,0,fusion
TCGA-BF-A5ES,MHC I,3,fusion
TCGA-BF-A5ES,MHC II,3,fusion
TCGA-BF-AAOU,MHC I,2,fusion
TCGA-BF-AAOU,MHC II,2,fusion
TCGA-BF-AAOX,MHC I,0,fusion
TCGA-BF-AAOX,MHC II,0,fusion
TCGA-BF-AAP1,MHC I,6,fusion
TCGA-BF-AAP1,MHC II,6,fusion
TCGA-BF-AAP2,MHC I,3,fusion
TCGA-BF-AAP2,MHC II,4,fusion
TCGA-BF-AAP4,MHC I,5,fusion
TCGA-BF-AAP4,MHC II,9,fusion
TCGA-BF-AAP6,MHC I,8,fusion
TCGA-BF-AAP6,MHC II,7,fusion
TCGA-BF-AAP7,MHC I,1,fusion
TCGA-BF-AAP7,MHC II,1,fusion
TCGA-BF-AAP8,MHC I,3,fusion
TCGA-BF-AAP8,MHC II,3,fusion
TCGA-D3-A5GT,MHC I,1,fusion
TCGA-D3-A5GT,MHC II,1,fusion
TCGA-D9-A3Z4,MHC I,1,fusion
TCGA-D9-A3Z4,MHC II,8,fusion
TCGA-D9-A4Z2,MHC I,6,fusion
TCGA-D9-A4Z2,MHC II,7,fusion
TCGA-D9-A4Z3,MHC I,17,fusion
TCGA-D9-A4Z3,MHC II,18,fusion
TCGA-EB-A1NK,MHC I,6,fusion
TCGA-EB-A1NK,MHC II,6,fusion
TCGA-EB-A3HV,MHC I,6,fusion
TCGA-EB-A3HV,MHC II,7,fusion
TCGA-EB-A3XB,MHC I,1,fusion
TCGA-EB-A3XB,MHC II,2,fusion
TCGA-EB-A3XC,MHC I,5,fusion
TCGA-EB-A3XC,MHC II,8,fusion
TCGA-EB-A3XD,MHC I,5,fusion
TCGA-EB-A3XD,MHC II,5,fusion
TCGA-EB-A3XE,MHC I,4,fusion
TCGA-EB-A3XE,MHC II,4,fusion
TCGA-EB-A3XF,MHC I,2,fusion
TCGA-EB-A3XF,MHC II,2,fusion
TCGA-EB-A41A,MHC I,0,fusion
TCGA-EB-A41A,MHC II,0,fusion
TCGA-BF-A1PV,MHC I,0,splicing
TCGA-BF-A1PV,MHC II,0,splicing
TCGA-BF-A3DL,MHC I,0,splicing
TCGA-BF-A3DL,MHC II,0,splicing
TCGA-BF-A3DM,MHC I,0,splicing
TCGA-BF-A3DM,MHC II,2,splicing
TCGA-BF-A3DN,MHC I,1,splicing
TCGA-BF-A3DN,MHC II,1,splicing
TCGA-BF-A5EO,MHC I,1,splicing
TCGA-BF-A5EO,MHC II,1,splicing
TCGA-BF-A5ER,MHC I,1,splicing
TCGA-BF-A5ER,MHC II,1,splicing
TCGA-BF-A5ES,MHC I,0,splicing
TCGA-BF-A5ES,MHC II,0,splicing
TCGA-BF-AAP4,MHC I,1,splicing
TCGA-BF-AAP4,MHC II,1,splicing
TCGA-BF-AAP7,MHC I,0,splicing
TCGA-BF-AAP7,MHC II,0,splicing
TCGA-BF-AAP8,MHC I,0,splicing
TCGA-BF-AAP8,MHC II,0,splicing
TCGA-D9-A3Z4,MHC I,0,splicing
TCGA-D9-A3Z4,MHC II,0,splicing
TCGA-D9-A4Z3,MHC I,0,splicing
TCGA-D9-A4Z3,MHC II,0,splicing
TCGA-EB-A1NK,MHC I,0,splicing
TCGA-EB-A1NK,MHC II,0,splicing
TCGA-EB-A3HV,MHC I,0,splicing
TCGA-EB-A3HV,MHC II,0,splicing
TCGA-EB-A3XB,MHC I,1,splicing
TCGA-EB-A3XB,MHC II,1,splicing
TCGA-EB-A3XC,MHC I,0,splicing
TCGA-EB-A3XC,MHC II,0,splicing
TCGA-EB-A41A,MHC I,1,splicing
TCGA-EB-A41A,MHC II,0,splicing
