sample	snv_count	indel_count	snv_indel_count	fusion_count	somatic_mhcI_neoantigens	somatic_mhcII_neoantigens	somatic_total_neoantigens	fusion_mhcI_neoantigens	fusion_mhcII_neoantigens	fusion_total_neoantigens	splicing_mhcI_neoantigens	splicing_mhcII_neoantigens	splicing_total_neoantigens
TCGA-BF-A1PV	1984	26	2010	4	15	21	36	2	2	4	0	0	0
TCGA-BF-A3DJ	1493	13	1506	9	11	18	29	1	2	3	0	0	0
TCGA-BF-A3DL	2133	22	2155	11	8	26	34	1	5	6	0	0	0
TCGA-BF-A3DM	3972	73	4045	16	36	44	80	3	3	6	0	2	2
TCGA-BF-A3DN	2093	30	2123	5	7	8	15	1	2	3	1	1	2
TCGA-BF-A5EO	2947	41	2988	9	55	56	111	1	1	2	1	1	2
TCGA-BF-A5EP	2134	47	2181	10	16	22	38	5	8	13	0	0	0
TCGA-BF-A5EQ	2822	38	2860	23	42	41	83	24	20	44	0	0	0
TCGA-BF-A5ER	2684	37	2721	3	16	16	32	0	0	0	1	1	2
TCGA-BF-A5ES	2283	32	2315	8	52	53	105	3	3	6	0	0	0
TCGA-BF-AAOU	3452	47	3499	7	21	21	42	2	2	4	0	0	0
TCGA-BF-AAOX	5294	48	5342	5	88	80	168	0	0	0	0	0	0
TCGA-BF-AAP1	3631	32	3663	12	70	68	138	6	6	12	0	0	0
TCGA-BF-AAP2	5025	48	5073	8	65	93	158	3	4	7	0	0	0
TCGA-BF-AAP4	4282	31	4313	15	15	19	34	5	9	14	1	1	2
TCGA-BF-AAP6	4936	64	5000	14	8	8	16	8	7	15	0	0	0
TCGA-BF-AAP7	3592	40	3632	6	4	4	8	1	1	2	0	0	0
TCGA-BF-AAP8	4885	84	4969	5	1	1	2	3	3	6	0	0	0
TCGA-D3-A5GT	2951	34	2985	2	1	1	2	1	1	2	0	0	0
TCGA-D9-A3Z4	4967	46	5013	7	6	25	31	1	8	9	0	0	0
TCGA-D9-A4Z2	544	3	547	9	1	1	2	6	7	13	0	0	0
TCGA-D9-A4Z3	3160	38	3198	24	57	58	115	17	18	35	0	0	0
TCGA-EB-A1NK	4331	61	4392	8	8	8	16	6	6	12	0	0	0
TCGA-EB-A3HV	1782	24	1806	8	1	1	2	6	7	13	0	0	0
TCGA-EB-A3XB	5135	25	5160	7	27	26	53	1	2	3	1	1	2
TCGA-EB-A3XC	3880	35	3915	16	28	50	78	5	8	13	0	0	0
TCGA-EB-A3XD	3462	15	3477	5	1	1	2	5	5	10	0	0	0
TCGA-EB-A3XE	3482	15	3497	8	0	0	0	4	4	8	0	0	0
TCGA-EB-A3XF	2488	155	2643	6	44	40	84	2	2	4	0	0	0
TCGA-EB-A41A	4746	41	4787	5	113	110	223	0	0	0	1	0	1
