sample	n_epitopes	spearman_rho_original_vs_ppi_topology_ablated_rank	spearman_p_original_vs_ppi_topology_ablated_rank	top10_overlap_n	top10_overlap_fraction	top10_jaccard	median_abs_rank_shift	mean_abs_rank_shift	max_abs_rank_shift	ic50_col	depmap_col	wci_col	rank_col	score_col
Sample_TCGA-BF-A1PV	44	0.8761099365750528	6.829993984564833e-15	7	0.7	0.5384615384615384	4.0	4.7727272727272725	17.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-A3DJ	35	0.7050420168067227	2.2597092885240563e-06	7	0.7	0.5384615384615384	3.0	5.314285714285714	23.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-A3DL	46	0.8238667900092507	2.0318025005940636e-12	8	0.8	0.6666666666666666	5.0	5.695652173913044	21.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-A3DM	94	0.8797384676516273	1.851332733004527e-31	8	0.8	0.6666666666666666	6.0	9.23404255319149	40.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-A3DN	23	0.7094861660079053	0.00014995991568994953	6	0.6	0.42857142857142855	3.0	3.8260869565217392	11.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-A5EO	117	0.7816660391372315	2.4962036990399784e-25	8	0.8	0.6666666666666666	12.0	16.70940170940171	55.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-A5EP	64	0.86753663003663	1.810566893264182e-20	7	0.7	0.5384615384615384	5.0	7.28125	27.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-A5EQ	171	0.8715074279405766	3.520967502713042e-54	6	0.6	0.42857142857142855	9.0	17.181286549707604	67.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-A5ER	34	0.7200916730328494	1.5793605372141763e-06	7	0.7	0.5384615384615384	3.5	5.235294117647059	15.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-A5ES	117	0.7615045988476724	2.1366969308280398e-23	7	0.7	0.5384615384615384	14.0	17.427350427350426	72.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-AAOU	50	0.7925570228091235	6.981429236156049e-12	7	0.7	0.5384615384615384	7.0	7.56	20.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-AAOX	168	0.8365973041237897	3.028908926474795e-45	8	0.8	0.6666666666666666	16.5	20.952380952380953	82.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-AAP1	162	0.8101786578713759	5.950407573199211e-39	8	0.8	0.6666666666666666	18.5	22.185185185185187	85.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-AAP2	172	0.684295427370685	4.289812811148194e-25	4	0.4	0.25	22.5	29.25581395348837	113.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-AAP4	64	0.6677655677655677	1.6682796928128101e-09	3	0.3	0.17647058823529413	10.5	12.0625	30.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-AAP6	46	0.7404872032069072	4.045850903307007e-09	8	0.8	0.6666666666666666	5.0	7.217391304347826	25.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-AAP7	12	0.6853146853146854	0.013905968814362752	9	0.9	0.8181818181818182	1.5	2.0	7.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-BF-AAP8	14	0.8197802197802198	0.00033143695693539936	9	0.9	0.8181818181818182	1.0	1.5714285714285714	5.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-D3-A5GT	6	1.0	0.0	6	0.6	1.0	0.0	0.0	0.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-D9-A3Z4	49	0.6090816326530611	3.4163624172888196e-06	6	0.6	0.42857142857142855	7.0	9.63265306122449	33.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-D9-A4Z2	28	0.7783251231527094	1.0813739548065131e-06	7	0.7	0.5384615384615384	4.0	4.428571428571429	11.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-D9-A4Z3	185	0.872997611917668	5.811953411807916e-59	7	0.7	0.5384615384615384	10.0	18.37837837837838	78.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-EB-A1NK	40	0.9236397748592872	2.0637922117188297e-17	8	0.8	0.6666666666666666	2.0	3.1	14.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-EB-A3HV	28	0.9430760810071154	6.06767001503551e-14	8	0.8	0.6666666666666666	2.0	1.9285714285714286	6.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-EB-A3XB	61	0.8356800064189656	5.426095473792067e-17	7	0.7	0.5384615384615384	5.0	7.524590163934426	23.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-EB-A3XC	104	0.5999893310572924	1.6862309726672277e-11	5	0.5	0.3333333333333333	17.0	20.923076923076923	61.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-EB-A3XD	22	0.7910784867306607	1.1684357640464507e-05	8	0.8	0.6666666666666666	2.0	3.1818181818181817	7.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-EB-A3XE	16	0.7835060043536575	0.0003298568038893061	10	1.0	1.0	2.25	2.5	6.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-EB-A3XF	92	0.723039933418615	4.002239622600181e-16	5	0.5	0.3333333333333333	13.5	15.5	42.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
Sample_TCGA-EB-A41A	224	0.7905722827247491	3.516131427787327e-49	5	0.5	0.3333333333333333	22.0	31.455357142857142	115.0	Median.MT.IC50.Score	Depmap_survivability_score	Net_WCI	Borda_Rank	Borda_Score
