metric_a	metric_b	median_spearman_rho	q1_spearman_rho	q3_spearman_rho	median_abs_spearman_rho
Net_Impact	Net_Strength	0.9895160037173639	0.9796414319820905	1.0	0.9895160037173639
Net_Degree	Net_Strength	0.920039355666542	0.8726042712637756	0.9502708248984852	0.920039355666542
Net_Degree	Net_Impact	0.8986054031637108	0.8475020152191078	0.9424927937406744	0.8986054031637108
Net_Strength	Net_WCI	0.6290141262028401	0.5213377511267283	0.7630401919197091	0.6290141262028401
Net_Betweenness	Net_Impact	0.6159417288103705	0.5468786793966027	0.7507609968251772	0.6159417288103705
Net_Betweenness	Net_Strength	0.6072097176776373	0.4785710382904904	0.7045195870131248	0.6072097176776373
Net_Impact	Net_WCI	0.5986353136481619	0.5256491512246234	0.7578263284363541	0.5986353136481619
Net_Betweenness	Net_Degree	0.5665092506932656	0.4759113710315209	0.7062716807948155	0.5665092506932656
Net_Betweenness	Net_WCI	0.46891788058926237	0.3214037179360428	0.6052067492971307	0.46891788058926237
Net_Degree	Net_WCI	0.4045321933231152	0.1756191684730107	0.5143205972321441	0.4045321933231152
depmap	Net_Degree	0.18990460009159565	-0.0017415024761771383	0.3178827378167074	0.21716519913597865
depmap	Net_Strength	0.1288031661768184	0.012590344984596156	0.3360677001474276	0.1771307091673544
depmap	Net_Impact	0.10691556815661162	0.01169085934105487	0.314203385386533	0.17626183380700533
depmap	Net_Betweenness	-0.00517628471475304	-0.09950900128251758	0.17029639962541046	0.1490608875071414
depmap	Net_WCI	-0.012354290655893212	-0.13831017128224926	0.10922528674157456	0.13780269847473553
mhc_ic50	Net_Betweenness	-0.04026681236498614	-0.15589351071293217	0.06596789664023624	0.12495198387521753
mhc_ic50	Net_WCI	-0.0072269319176604474	-0.12214318715381967	0.09710891029839142	0.10615987081666063
mhc_ic50	Net_Degree	-0.06258664162276983	-0.12015611646899088	0.03750292147656484	0.09010123423342331
mhc_ic50	Net_Strength	-0.02496717840206615	-0.12171407262046205	0.05342485961585242	0.08872116480789971
mhc_ic50	Net_Impact	-0.02179601145247481	-0.12265154049882428	0.07681696755581043	0.08729345689877037
mhc_ic50	depmap	0.019807111980318086	-0.035939646136891	0.08635460202596476	0.07425590363076914
