sample	scenario	n_candidates	spearman_rho_vs_default_rank	spearman_p_vs_default_rank	top10_overlap_with_default_n	top10_overlap_with_default_fraction	top20_overlap_with_default_n	top20_overlap_with_default_fraction	scenario_top10_driver_rows	default_top10_driver_rows
Sample_TCGA-BF-A1PV	mhc_ic50_only	44	0.38308668076109936	0.010267126082235735	2	0.2	11	0.55	2	0
Sample_TCGA-BF-A1PV	depmap_only	44	0.6752642706131078	4.954956814548869e-07	7	0.7	14	0.7	2	0
Sample_TCGA-BF-A1PV	network_only	44	0.8370683579985906	1.4440826599250477e-12	8	0.8	17	0.85	0	0
Sample_TCGA-BF-A1PV	no_network_mhc_ic50_depmap	44	0.7203664552501762	3.530695928070331e-08	5	0.5	14	0.7	2	0
Sample_TCGA-BF-A1PV	no_mhc_ic50_depmap_network	44	0.9148696264975336	3.812128258159475e-18	9	0.9	18	0.9	0	0
Sample_TCGA-BF-A1PV	no_depmap_mhc_ic50_network	44	0.9302325581395349	6.794019629176797e-20	8	0.8	17	0.85	0	0
Sample_TCGA-BF-A1PV	network_weight_0pct	44	0.7203664552501762	3.530695928070331e-08	5	0.5	14	0.7	2	0
Sample_TCGA-BF-A1PV	network_weight_25pct	44	0.9100775193798449	1.1479749321872134e-17	7	0.7	16	0.8	1	0
Sample_TCGA-BF-A1PV	network_weight_50pct	44	0.9984496124031007	2.5245094417878797e-54	10	1.0	20	1.0	0	0
Sample_TCGA-BF-A1PV	network_weight_75pct	44	0.9444679351656096	6.480268479856324e-22	8	0.8	19	0.95	0	0
Sample_TCGA-BF-A1PV	network_weight_100pct	44	0.8370683579985906	1.4440826599250477e-12	8	0.8	17	0.85	0	0
Sample_TCGA-BF-A1PV	leave_out_Net_Betweenness	44	0.9837914023960537	5.57918223034856e-33	10	1.0	20	1.0	0	0
Sample_TCGA-BF-A1PV	leave_out_Net_Degree	44	0.9921071176885131	1.6539754976956804e-39	10	1.0	19	0.95	0	0
Sample_TCGA-BF-A1PV	leave_out_Net_Impact	44	0.9977448907681464	6.55429893918223e-51	9	0.9	20	1.0	0	0
Sample_TCGA-BF-A1PV	leave_out_Net_Strength	44	0.9977448907681464	6.55429893918223e-51	9	0.9	20	1.0	0	0
Sample_TCGA-BF-A1PV	leave_out_Net_WCI	44	0.9873150105708244	3.3551597639321437e-35	9	0.9	18	0.9	0	0
Sample_TCGA-BF-A3DJ	mhc_ic50_only	35	0.265546218487395	0.12313015296618025	4	0.4	13	0.65	2	1
Sample_TCGA-BF-A3DJ	depmap_only	35	0.4549019607843138	0.006040138210568557	5	0.5	13	0.65	2	1
Sample_TCGA-BF-A3DJ	network_only	35	0.7717086834733894	5.72023781135664e-08	8	0.8	17	0.85	0	1
Sample_TCGA-BF-A3DJ	no_network_mhc_ic50_depmap	35	0.430812324929972	0.009778098788228247	5	0.5	12	0.6	1	1
Sample_TCGA-BF-A3DJ	no_mhc_ic50_depmap_network	35	0.869747899159664	1.1870156675312924e-11	9	0.9	17	0.85	2	1
Sample_TCGA-BF-A3DJ	no_depmap_mhc_ic50_network	35	0.8593837535014005	3.8733597105511515e-11	9	0.9	17	0.85	1	1
Sample_TCGA-BF-A3DJ	network_weight_0pct	35	0.430812324929972	0.009778098788228247	5	0.5	12	0.6	1	1
Sample_TCGA-BF-A3DJ	network_weight_25pct	35	0.7535014005602241	1.748607199290298e-07	7	0.7	14	0.7	1	1
Sample_TCGA-BF-A3DJ	network_weight_50pct	35	0.9980392156862745	2.662289702352051e-41	10	1.0	19	0.95	1	1
Sample_TCGA-BF-A3DJ	network_weight_75pct	35	0.8896358543417368	8.992250630721315e-13	10	1.0	18	0.9	1	1
Sample_TCGA-BF-A3DJ	network_weight_100pct	35	0.7683473389355743	7.08392918296656e-08	8	0.8	17	0.85	0	1
Sample_TCGA-BF-A3DJ	leave_out_Net_Betweenness	35	0.9781512605042018	4.337562143527945e-24	10	1.0	18	0.9	1	1
Sample_TCGA-BF-A3DJ	leave_out_Net_Degree	35	0.9747899159663865	4.486475577058663e-23	10	1.0	19	0.95	1	1
Sample_TCGA-BF-A3DJ	leave_out_Net_Impact	35	0.9820728291316526	1.7069126476113185e-25	10	1.0	19	0.95	1	1
Sample_TCGA-BF-A3DJ	leave_out_Net_Strength	35	0.9893557422969188	3.3107942462400625e-29	10	1.0	19	0.95	1	1
