scenario	n_samples	median_spearman_rho_vs_default	q1_spearman_rho_vs_default	q3_spearman_rho_vs_default	median_top10_overlap_fraction	q1_top10_overlap_fraction	q3_top10_overlap_fraction	median_top20_overlap_fraction	q1_top20_overlap_fraction	q3_top20_overlap_fraction	total_scenario_top10_driver_rows	total_default_top10_driver_rows
depmap_only	30	0.5525639147200926	0.4582853010206187	0.6666486170086925	0.45	0.225	0.6749999999999999	0.55	0.45	0.775	33	34
leave_out_Net_Betweenness	30	0.9879827141766163	0.9836141114069292	0.9905674538493612	0.9	0.9	1.0	0.95	0.9	1.0	36	34
leave_out_Net_Degree	30	0.990510387289806	0.986734503360717	0.9924090315135397	0.9	0.9	1.0	0.95	0.95	0.9875	33	34
leave_out_Net_Impact	30	0.9952894616229956	0.9919727710651373	0.9964008068160819	1.0	0.9	1.0	0.95	0.95	1.0	33	34
leave_out_Net_Strength	30	0.9951758598610767	0.9909399055479059	0.9962983992705301	1.0	0.9	1.0	0.95	0.95	1.0	33	34
leave_out_Net_WCI	30	0.9834786951684791	0.9775301666596438	0.987282125428028	0.9	0.9	1.0	0.95	0.9125	0.9875	36	34
mhc_ic50_only	30	0.44988921519093933	0.35219237943606024	0.49463776118401703	0.4	0.2	0.6	0.55	0.35	0.75	32	34
network_only	30	0.7986603885701059	0.7627442943944133	0.837527959064865	0.6	0.5	0.8	0.75	0.65	0.8875	33	34
network_weight_0pct	30	0.6570227643019467	0.5875471056656905	0.7155458688623614	0.5	0.4	0.6	0.625	0.55	0.8	30	34
network_weight_100pct	30	0.794677795532891	0.7627442943944133	0.837527959064865	0.6	0.5	0.8	0.75	0.65	0.8875	33	34
network_weight_25pct	30	0.8766079866413885	0.8319296192937496	0.8962530270201188	0.7	0.6	0.8	0.8	0.7	0.8875	32	34
network_weight_50pct	30	0.9983439609027468	0.996653766990373	0.9999495907236112	1.0	1.0	1.0	1.0	1.0	1.0	34	34
network_weight_75pct	30	0.9132891507640304	0.8861637355597183	0.9334007064364207	0.7	0.6	0.8	0.85	0.7124999999999999	0.95	33	34
no_depmap_mhc_ic50_network	30	0.8932264508847255	0.8774110199816163	0.9162825388818219	0.7	0.6	0.9	0.8	0.75	0.8875	36	34
no_mhc_ic50_depmap_network	30	0.8878765818901004	0.867864903423104	0.9052146573391419	0.7	0.6	0.875	0.8	0.75	0.9375	43	34
no_network_mhc_ic50_depmap	30	0.6570227643019467	0.5875471056656905	0.7155458688623614	0.5	0.4	0.6	0.625	0.55	0.8	30	34
