scenario	metric_score_column	weight
mhc_ic50_only	score_mhc_ic50	1.0
depmap_only	score_depmap	1.0
network_only	score_Net_Betweenness	1.0
network_only	score_Net_Degree	1.0
network_only	score_Net_Impact	1.0
network_only	score_Net_Strength	1.0
network_only	score_Net_WCI	1.0
no_network_mhc_ic50_depmap	score_mhc_ic50	0.5
no_network_mhc_ic50_depmap	score_depmap	0.5
no_mhc_ic50_depmap_network	score_depmap	0.25
no_mhc_ic50_depmap_network	score_Net_Betweenness	0.1
no_mhc_ic50_depmap_network	score_Net_Degree	0.1
no_mhc_ic50_depmap_network	score_Net_Impact	0.1
no_mhc_ic50_depmap_network	score_Net_Strength	0.1
no_mhc_ic50_depmap_network	score_Net_WCI	0.1
no_depmap_mhc_ic50_network	score_mhc_ic50	0.25
no_depmap_mhc_ic50_network	score_Net_Betweenness	0.1
no_depmap_mhc_ic50_network	score_Net_Degree	0.1
no_depmap_mhc_ic50_network	score_Net_Impact	0.1
no_depmap_mhc_ic50_network	score_Net_Strength	0.1
no_depmap_mhc_ic50_network	score_Net_WCI	0.1
network_weight_0pct	score_mhc_ic50	0.5
network_weight_0pct	score_depmap	0.5
network_weight_25pct	score_mhc_ic50	0.375
network_weight_25pct	score_depmap	0.375
network_weight_25pct	score_Net_Betweenness	0.05
network_weight_25pct	score_Net_Degree	0.05
network_weight_25pct	score_Net_Impact	0.05
network_weight_25pct	score_Net_Strength	0.05
network_weight_25pct	score_Net_WCI	0.05
network_weight_50pct	score_mhc_ic50	0.25
network_weight_50pct	score_depmap	0.25
network_weight_50pct	score_Net_Betweenness	0.1
network_weight_50pct	score_Net_Degree	0.1
network_weight_50pct	score_Net_Impact	0.1
network_weight_50pct	score_Net_Strength	0.1
network_weight_50pct	score_Net_WCI	0.1
network_weight_75pct	score_mhc_ic50	0.125
network_weight_75pct	score_depmap	0.125
network_weight_75pct	score_Net_Betweenness	0.15
network_weight_75pct	score_Net_Degree	0.15
network_weight_75pct	score_Net_Impact	0.15
network_weight_75pct	score_Net_Strength	0.15
network_weight_75pct	score_Net_WCI	0.15
network_weight_100pct	score_Net_Betweenness	0.2
network_weight_100pct	score_Net_Degree	0.2
network_weight_100pct	score_Net_Impact	0.2
network_weight_100pct	score_Net_Strength	0.2
network_weight_100pct	score_Net_WCI	0.2
leave_out_Net_Betweenness	score_mhc_ic50	0.25
leave_out_Net_Betweenness	score_depmap	0.25
leave_out_Net_Betweenness	score_Net_Degree	0.125
leave_out_Net_Betweenness	score_Net_Impact	0.125
leave_out_Net_Betweenness	score_Net_Strength	0.125
leave_out_Net_Betweenness	score_Net_WCI	0.125
leave_out_Net_Degree	score_mhc_ic50	0.25
leave_out_Net_Degree	score_depmap	0.25
leave_out_Net_Degree	score_Net_Betweenness	0.125
leave_out_Net_Degree	score_Net_Impact	0.125
leave_out_Net_Degree	score_Net_Strength	0.125
leave_out_Net_Degree	score_Net_WCI	0.125
leave_out_Net_Impact	score_mhc_ic50	0.25
leave_out_Net_Impact	score_depmap	0.25
leave_out_Net_Impact	score_Net_Betweenness	0.125
leave_out_Net_Impact	score_Net_Degree	0.125
leave_out_Net_Impact	score_Net_Strength	0.125
leave_out_Net_Impact	score_Net_WCI	0.125
leave_out_Net_Strength	score_mhc_ic50	0.25
leave_out_Net_Strength	score_depmap	0.25
leave_out_Net_Strength	score_Net_Betweenness	0.125
leave_out_Net_Strength	score_Net_Degree	0.125
leave_out_Net_Strength	score_Net_Impact	0.125
leave_out_Net_Strength	score_Net_WCI	0.125
leave_out_Net_WCI	score_mhc_ic50	0.25
leave_out_Net_WCI	score_depmap	0.25
leave_out_Net_WCI	score_Net_Betweenness	0.125
leave_out_Net_WCI	score_Net_Degree	0.125
leave_out_Net_WCI	score_Net_Impact	0.125
leave_out_Net_WCI	score_Net_Strength	0.125
