metric	value
n_candidates	2288
n_samples	30
n_unique_peptides	1979
n_unique_peptide_hla_pairs	2003
exact_peptide__CEDAR__negative_binding_assay__candidate_count	1
exact_peptide__CEDAR__presentation__candidate_count	1
exact_peptide__CEDAR__uncategorized_mhc_ligand__candidate_count	1
exact_peptide__IEDB__negative_binding_assay__candidate_count	1
exact_peptide__IEDB__presentation__candidate_count	1
exact_peptide__IEDB__uncategorized_mhc_ligand__candidate_count	1
exact_peptide__TSNAdb_v2__prediction_concordance__candidate_count	36
exact_peptide__negative_binding_assay__candidate_count	1
exact_peptide__prediction_concordance__candidate_count	36
exact_peptide__presentation__candidate_count	1
exact_peptide__uncategorized_mhc_ligand__candidate_count	1
exact_peptide_hla__TSNAdb_v2__prediction_concordance__candidate_count	27
exact_peptide_hla__prediction_concordance__candidate_count	27
relaxed_min8_peptide__CEDAR__binding_evidence__candidate_count	16
relaxed_min8_peptide__CEDAR__negative_binding_assay__candidate_count	19
relaxed_min8_peptide__CEDAR__negative_presentation_assay__candidate_count	20
relaxed_min8_peptide__CEDAR__negative_tcell_assay__candidate_count	27
relaxed_min8_peptide__CEDAR__presentation__candidate_count	536
relaxed_min8_peptide__CEDAR__strong_immunogenicity__candidate_count	22
relaxed_min8_peptide__CEDAR__uncategorized_mhc_ligand__candidate_count	15
relaxed_min8_peptide__IEDB__binding_evidence__candidate_count	16
relaxed_min8_peptide__IEDB__negative_binding_assay__candidate_count	20
relaxed_min8_peptide__IEDB__negative_presentation_assay__candidate_count	20
relaxed_min8_peptide__IEDB__negative_tcell_assay__candidate_count	29
relaxed_min8_peptide__IEDB__presentation__candidate_count	539
relaxed_min8_peptide__IEDB__strong_immunogenicity__candidate_count	22
relaxed_min8_peptide__IEDB__uncategorized_mhc_ligand__candidate_count	15
relaxed_min8_peptide__TSNAdb_v2__prediction_concordance__candidate_count	404
relaxed_min8_peptide__TSNAdb_v2__strong_immunogenicity__candidate_count	5
relaxed_min8_peptide__binding_evidence__candidate_count	16
relaxed_min8_peptide__negative_binding_assay__candidate_count	20
relaxed_min8_peptide__negative_presentation_assay__candidate_count	20
relaxed_min8_peptide__negative_tcell_assay__candidate_count	29
relaxed_min8_peptide__prediction_concordance__candidate_count	404
relaxed_min8_peptide__presentation__candidate_count	539
relaxed_min8_peptide__strong_immunogenicity__candidate_count	22
relaxed_min8_peptide__uncategorized_mhc_ligand__candidate_count	15
relaxed_min8_peptide_gene__TSNAdb_v2__strong_immunogenicity__candidate_count	5
relaxed_min8_peptide_gene__strong_immunogenicity__candidate_count	5
relaxed_min8_peptide_hla__CEDAR__presentation__candidate_count	1
relaxed_min8_peptide_hla__IEDB__presentation__candidate_count	1
relaxed_min8_peptide_hla__TSNAdb_v2__prediction_concordance__candidate_count	87
relaxed_min8_peptide_hla__prediction_concordance__candidate_count	87
relaxed_min8_peptide_hla__presentation__candidate_count	1
