match_scope	top_type	cutoff	ranking_method	ranking_label	n_patients	median_delta_hit_rate_vs_ic50_pct_points	patients_better_than_ic50	patients_same_as_ic50	patients_worse_than_ic50
relaxed_min8_peptide	topn	10	borda	Borda	30	10.0	17	7	6
relaxed_min8_peptide	topn	10	depmap_survivability	DepMap survivability	30	4.99999999999999	15	7	8
relaxed_min8_peptide	topn	10	net_betweenness	Network betweenness	30	0.0	12	9	9
relaxed_min8_peptide	topn	10	net_degree	Network degree	30	4.99999999999999	15	9	6
relaxed_min8_peptide	topn	10	net_impact	Network impact	30	4.99999999999999	15	9	6
relaxed_min8_peptide	topn	10	net_strength	Network strength	30	9.99999999999999	16	8	6
relaxed_min8_peptide	topn	10	net_wci	Network WCI	30	0.0	11	10	9
relaxed_min8_peptide	topn	20	borda	Borda	30	4.99999999999999	17	5	8
relaxed_min8_peptide	topn	20	depmap_survivability	DepMap survivability	30	0.0	13	10	7
relaxed_min8_peptide	topn	20	net_betweenness	Network betweenness	30	0.0	13	8	9
relaxed_min8_peptide	topn	20	net_degree	Network degree	30	0.0	14	8	8
relaxed_min8_peptide	topn	20	net_impact	Network impact	30	0.0	14	9	7
relaxed_min8_peptide	topn	20	net_strength	Network strength	30	0.0	14	9	7
relaxed_min8_peptide	topn	20	net_wci	Network WCI	30	0.0	14	9	7
relaxed_min8_peptide	topn	30	borda	Borda	30	0.0	10	14	6
relaxed_min8_peptide	topn	30	depmap_survivability	DepMap survivability	30	0.0	10	10	10
relaxed_min8_peptide	topn	30	net_betweenness	Network betweenness	30	0.0	12	10	8
relaxed_min8_peptide	topn	30	net_degree	Network degree	30	0.0	10	10	10
relaxed_min8_peptide	topn	30	net_impact	Network impact	30	0.0	9	13	8
relaxed_min8_peptide	topn	30	net_strength	Network strength	30	0.0	7	13	10
relaxed_min8_peptide	topn	30	net_wci	Network WCI	30	0.0	9	11	10
relaxed_min8_peptide	topn	40	borda	Borda	30	0.0	10	14	6
relaxed_min8_peptide	topn	40	depmap_survivability	DepMap survivability	30	0.0	8	15	7
relaxed_min8_peptide	topn	40	net_betweenness	Network betweenness	30	0.0	10	12	8
relaxed_min8_peptide	topn	40	net_degree	Network degree	30	0.0	10	14	6
relaxed_min8_peptide	topn	40	net_impact	Network impact	30	0.0	10	15	5
relaxed_min8_peptide	topn	40	net_strength	Network strength	30	0.0	10	14	6
relaxed_min8_peptide	topn	40	net_wci	Network WCI	30	0.0	10	12	8
relaxed_min8_peptide	topn	50	borda	Borda	30	0.0	7	18	5
relaxed_min8_peptide	topn	50	depmap_survivability	DepMap survivability	30	0.0	8	16	6
relaxed_min8_peptide	topn	50	net_betweenness	Network betweenness	30	0.0	6	17	7
relaxed_min8_peptide	topn	50	net_degree	Network degree	30	0.0	7	18	5
relaxed_min8_peptide	topn	50	net_impact	Network impact	30	0.0	7	19	4
relaxed_min8_peptide	topn	50	net_strength	Network strength	30	0.0	7	19	4
relaxed_min8_peptide	topn	50	net_wci	Network WCI	30	0.0	7	16	7
