file	category	hla_original	count
iedb_mhc_ligand	human_classical_class_II_DR	HLA-DR	120881
cedar_mhc_ligand	human_classical_class_II_DR	HLA-DR	120304
iedb_mhc_ligand	human_classical_class_II_DQ	HLA-DQ	13652
cedar_mhc_ligand	human_classical_class_II_DQ	HLA-DQ	13620
iedb_mhc_ligand	human_classical_class_II_DR	HLA-DR1	6193
cedar_mhc_ligand	human_classical_class_II_DR	HLA-DR1	5373
iedb_mhc_ligand	human_classical_class_II_DP	HLA-DP	5002
cedar_mhc_ligand	human_classical_class_II_DP	HLA-DP	4827
iedb_tcell	human_classical_class_II_DR	HLA-DR	4077
iedb_mhc_ligand	human_nonclassical_class_I_EFG	HLA-G*01:01	3252
cedar_mhc_ligand	human_nonclassical_class_I_EFG	HLA-G*01:01	3189
iedb_tcell	human_classical_class_II_DR	HLA-DR3	1943
iedb_tcell	human_classical_class_II_DR	HLA-DR4	1675
iedb_tcell	human_classical_class_II_DR	HLA-DR1	1619
cedar_tcell	human_classical_class_II_DR	HLA-DR	1169
iedb_mhc_ligand	human_classical_class_II_DR	HLA-DR3	1156
iedb_mhc_ligand	human_nonclassical_class_I_EFG	HLA-E*01:03	1130
iedb_mhc_ligand	human_classical_class_II_DR	HLA-DR7	880
cedar_mhc_ligand	human_nonclassical_class_I_EFG	HLA-G*01:04	822
iedb_mhc_ligand	human_nonclassical_class_I_EFG	HLA-G*01:04	822
iedb_tcell	human_classical_class_II_DQ	HLA-DQ8	763
cedar_mhc_ligand	human_nonclassical_class_I_EFG	HLA-G*01:03	749
iedb_mhc_ligand	human_nonclassical_class_I_EFG	HLA-G*01:03	749
iedb_mhc_ligand	human_classical_class_II_DR	HLA-DR4	728
cedar_mhc_ligand	human_nonclassical_class_I_EFG	HLA-E*01:03	684
iedb_tcell	human_classical_class_II_DR	HLA-DR2	663
cedar_mhc_ligand	human_classical_class_II_DR	HLA-DR3	568
cedar_mhc_ligand	human_classical_class_II_DR	HLA-DR7	494
cedar_tcell	human_classical_class_II_DR	HLA-DR3	480
iedb_mhc_ligand	human_classical_class_II_DR	HLA-DR2	443
iedb_tcell	human_classical_class_II_DR	HLA-DR15	419
iedb_mhc_ligand	human_classical_class_II_DR	HLA-DR11	413
iedb_mhc_ligand	human_nonclassical_class_I_EFG	HLA-E*01:01	389
cedar_tcell	human_classical_class_II_DR	HLA-DR4	369
iedb_mhc_ligand	human_classical_class_II_DR	HLA-DR13	352
iedb_tcell	human_classical_class_II_DR	HLA-DR7	327
iedb_mhc_ligand	human_classical_class_II_DR	HLA-DR15	302
cedar_tcell	human_classical_class_II_DR	HLA-DR1	301
iedb_tcell	human_classical_class_II_DR	HLA-DR13	271
iedb_tcell	human_classical_class_II_DR	HLA-DR11	263
iedb_tcell	human_nonclassical_class_I_EFG	HLA-E*01:03	260
iedb_tcell	human_classical_class_II_DR	HLA-DR53	250
cedar_mhc_ligand	human_classical_class_II_DR	HLA-DR2	249
iedb_tcell	human_classical_class_II_DQ	HLA-DQ	249
iedb_mhc_ligand	human_classical_class_II_DQ	HLA-DQ8	247
iedb_tcell	human_classical_class_II_DQ	HLA-DQ2	246
iedb_tcell	human_classical_class_II_DP	HLA-DPw4	239
cedar_tcell	human_classical_class_II_DR	HLA-DR13	217
iedb_mhc_ligand	human_nonclassical_class_I_EFG	HLA-E	213
iedb_mhc_ligand	human_classical_class_II_DQ	HLA-DQ2	211
cedar_mhc_ligand	human_classical_class_II_DR	HLA-DR4	210
iedb_tcell	human_classical_class_II_DP	HLA-DP	202
cedar_tcell	human_classical_class_II_DP	HLA-DPw4	196
cedar_tcell	human_classical_class_II_DR	HLA-DR53	177
iedb_tcell	human_nonclassical_class_I_EFG	HLA-E	177
cedar_mhc_ligand	human_nonclassical_class_I_EFG	HLA-F*01:04	173
iedb_mhc_ligand	human_nonclassical_class_I_EFG	HLA-F*01:04	173
cedar_mhc_ligand	human_nonclassical_class_I_EFG	HLA-F*01:03	171
iedb_mhc_ligand	human_nonclassical_class_I_EFG	HLA-F*01:03	171
cedar_mhc_ligand	human_classical_class_II_DQ	HLA-DQ8	169
iedb_tcell	human_nonclassical_class_I_EFG	HLA-E*01:01	163
iedb_tcell	human_classical_class_II_DQ	HLA-DQ6	163
cedar_mhc_ligand	human_nonclassical_class_I_EFG	HLA-E	151
cedar_mhc_ligand	human_nonclassical_class_I_EFG	HLA-F*01:01	144
iedb_mhc_ligand	human_nonclassical_class_I_EFG	HLA-F*01:01	144
cedar_tcell	human_classical_class_II_DR	HLA-DR15	139
cedar_mhc_ligand	human_nonclassical_class_I_EFG	HLA-E*01:01	131
cedar_mhc_ligand	human_classical_class_II_DQ	HLA-DQ2	123
iedb_mhc_ligand	human_classical_class_I_C	HLA-Cw4	121
cedar_mhc_ligand	human_classical_class_II_DR	HLA-DR13	118
cedar_tcell	human_classical_class_II_DR	HLA-DR11	116
iedb_tcell	human_classical_class_II_DR	HLA-DR9	116
cedar_mhc_ligand	human_classical_class_I_C	HLA-Cw4	115
iedb_mhc_ligand	human_classical_class_II_DR	HLA-DR8	115
cedar_tcell	human_classical_class_II_DQ	HLA-DQ8	114
iedb_mhc_ligand	human_classical_class_II_DR	HLA-DR14	100
iedb_tcell	human_classical_class_I_B	HLA-B	85
cedar_tcell	human_classical_class_I_B	HLA-B	84
cedar_mhc_ligand	human_classical_class_II_DR	HLA-DR8	83
cedar_tcell	human_nonclassical_class_I_EFG	HLA-E*01:01	83
iedb_mhc_ligand	human_classical_class_II_DR	HLA-DR17	80
cedar_mhc_ligand	human_classical_class_II_DP	HLA-DPw2	77
iedb_mhc_ligand	human_classical_class_II_DP	HLA-DPw2	77
cedar_mhc_ligand	human_classical_class_II_DR	HLA-DR11	72
iedb_tcell	human_classical_class_II_DR	HLA-DR14	70
iedb_mhc_ligand	human_classical_class_II_DP	HLA-DPw4	67
iedb_tcell	human_classical_class_II_DP	HLA-DPw2	66
cedar_mhc_ligand	human_classical_class_II_DP	HLA-DPw4	65
cedar_tcell	human_classical_class_II_DR	HLA-DR7	59
iedb_tcell	human_classical_class_II_DQ	HLA-DQ1	58
cedar_mhc_ligand	human_classical_class_II_DR	HLA-DR15	57
