endpoint	endpoint_label	match_scope	match_scope_label	top_type	cutoff	ranking_method	ranking_label	ranking_column	ranking_direction	n_patients	median_delta_hit_rate_vs_ic50	mean_delta_hit_rate_vs_ic50	median_delta_hits_vs_ic50	sum_delta_hits_vs_ic50	patients_better_than_ic50	patients_same_as_ic50	patients_worse_than_ic50	median_method_hit_rate	median_ic50_hit_rate
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	10	borda	Borda	Borda_Rank	lower_better	30	0.0	0.002515357020000982	0.0	0	3	25	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	10	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.017515357020000986	0.0	2	6	22	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	10	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	-0.005905695611577965	0.0	-2	1	27	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	10	net_degree	Network degree	Net_Degree	higher_better	30	0.0	-0.001143790849673203	0.0	-1	2	26	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	10	net_impact	Network impact	Net_Impact	higher_better	30	0.0	-0.001143790849673203	0.0	-1	2	26	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	10	net_strength	Network strength	Net_Strength	higher_better	30	0.0	-0.001143790849673203	0.0	-1	2	26	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	10	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	-0.0020930594460006227	0.0	0	3	25	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	10	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	0.0006520385932150643	0.0	-1	3	25	2	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	20	borda	Borda	Borda_Rank	lower_better	30	0.0	0.0007563559034147258	0.0	-2	4	23	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	20	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.01120453517512341	0.0	0	8	19	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	20	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	8.08015513897857e-05	0.0	-3	4	23	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	20	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.007950693097751921	0.0	-1	6	21	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	20	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.0057528908999497225	0.0	-1	5	22	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	20	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.0057528908999497225	0.0	-1	5	22	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	20	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.005501568148626972	0.0	1	5	22	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	20	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	-0.0051091936386054035	0.0	-4	4	22	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	30	borda	Borda	Borda_Rank	lower_better	30	0.0	0.006182785640608698	0.0	0	7	19	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	30	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.006624910463919751	0.0	-1	7	20	3	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	30	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.0035106907117689657	0.0	-2	6	19	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	30	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.008339648385706737	0.0	2	7	19	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	30	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.006915950251482286	0.0	1	7	18	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	30	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.0059900243255563606	0.0	0	7	18	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	30	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.006876703783664391	0.0	1	7	18	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	30	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	0.00316663871617432	0.0	-1	6	20	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	40	borda	Borda	Borda_Rank	lower_better	30	0.0	0.0029571469134739015	0.0	1	5	21	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	40	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.00543819734377726	0.0	1	6	20	4	0.005555555555555556	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	40	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.0031620788069839085	0.0	-3	6	19	5	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	40	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.00370401786158324	0.0	1	4	22	4	0.0	0.0
broad_supportive	Broad supportive evidence	exact_peptide	Exact peptide	percent	40	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.0026751783934446474	0.0	1	4	22	4	0.0	0.0
