database	evidence_focus	use_for_benchmarking	description	n_rows	rows_with_peptide	rows_with_hla_original	rows_with_hla_normalized	rows_strict_hla_eligible	rows_with_peptide_and_strict_hla	n_unique_peptides	n_unique_peptide_hla_pairs_strict	n_unique_references	fraction_strict_hla_eligible	fraction_peptide_and_strict_hla
IEDB	2_functional_tcell	primary_positive	Functional immunogenicity evidence, usually positive T-cell assay or validated neoantigen evidence.	176333	176333	154799	67998	62154	62154	68044	24199	10396	0.3524808175440785	0.3524808175440785
IEDB	3_experimental_presentation	primary_positive	Experimental MHC ligand / immunopeptidomics presentation evidence.	4405048	4405048	4405048	1659059	1652496	1652496	1276722	853258	753	0.37513688840621034	0.37513688840621034
IEDB	5_binding_only	contextual_only	Binding assay evidence only; weaker than presentation or T-cell activity.	198630	198630	198602	171322	169265	169265	96344	114401	4807	0.8521623118360772	0.8521623118360772
IEDB	6_negative_evidence	negative_control_or_exclude	Negative assay evidence; useful for controls, not positive benchmarking.	934071	934071	828585	648338	643720	643720	303772	238129	5730	0.6891553211693757	0.6891553211693757
IEDB	7_uncategorized_or_other	exclude_or_sensitivity	Other/uncategorized evidence; not used as primary positive endpoint.	89284	89284	89284	83550	81276	81276	25900	42787	1271	0.9103086779266162	0.9103086779266162
CEDAR	2_functional_tcell	primary_positive	Functional immunogenicity evidence, usually positive T-cell assay or validated neoantigen evidence.	51700	51700	46370	31773	29968	29968	19054	10337	3469	0.5796518375241779	0.5796518375241779
CEDAR	3_experimental_presentation	primary_positive	Experimental MHC ligand / immunopeptidomics presentation evidence.	4312534	4312534	4312534	1652670	1646144	1646144	1217904	848177	518	0.381711541288718	0.381711541288718
CEDAR	5_binding_only	contextual_only	Binding assay evidence only; weaker than presentation or T-cell activity.	44585	44585	44585	41979	41588	41588	21416	30493	2184	0.9327800829875519	0.9327800829875519
CEDAR	6_negative_evidence	negative_control_or_exclude	Negative assay evidence; useful for controls, not positive benchmarking.	161552	161552	136650	99806	98835	98835	81792	77933	2030	0.6117844409230464	0.6117844409230464
CEDAR	7_uncategorized_or_other	exclude_or_sensitivity	Other/uncategorized evidence; not used as primary positive endpoint.	34500	34500	34500	32061	31230	31230	15175	27396	527	0.9052173913043479	0.9052173913043479
TSNAdb_v2	1_functional_and_presented	primary_positive	Highest confidence: reported as immunogenic and supported by presentation/validation tier.	67	67	67	65	65	65	65	64	19	0.9701492537313433	0.9701492537313433
TSNAdb_v2	2_functional_tcell	primary_positive	Functional immunogenicity evidence, usually positive T-cell assay or validated neoantigen evidence.	1188	1188	851	819	818	818	1116	805	140	0.6885521885521886	0.6885521885521886
TSNAdb_v2	3_experimental_presentation	primary_positive	Experimental MHC ligand / immunopeptidomics presentation evidence.	599	599	589	589	589	589	493	583	248	0.9833055091819699	0.9833055091819699
TSNAdb_v2	4_prediction_concordance	secondary_supportive	Predicted/shared TSNAdb evidence; useful as secondary support, not experimental validation.	520496	520496	520496	520496	520496	520496	433895	491011	0	1.0	1.0
