criterion	criterion_label	cutoff_type	cutoff	method	median_difference	q1_difference	q3_difference	n_samples
min8	Min-8 containment	Top-N	10	Borda	0.1	0.0	0.2	30
min8	Min-8 containment	Top-N	20	Borda	0.04999999999999999	-0.03749999999999999	0.09999999999999998	30
min8	Min-8 containment	Top-N	50	Borda	0.0	0.0	0.0	30
min8	Min-8 containment	Top-percentile	1	Borda	0.0	0.0	0.0	30
min8	Min-8 containment	Top-percentile	5	Borda	0.0	0.0	0.2152777777777778	30
min8	Min-8 containment	Top-percentile	10	Borda	0.0	-0.062499999999999986	0.04411764705882354	30
min8	Min-8 containment	Top-percentile	20	Borda	0.0	-0.021428571428571436	0.10833333333333334	30
min8_cov50	Min-8 + >=50% coverage	Top-N	10	Borda	0.0	0.0	0.1	30
min8_cov50	Min-8 + >=50% coverage	Top-N	20	Borda	0.0	0.0	0.04999999999999999	30
min8_cov50	Min-8 + >=50% coverage	Top-N	50	Borda	0.0	0.0	0.0	30
min8_cov50	Min-8 + >=50% coverage	Top-percentile	1	Borda	0.0	0.0	0.0	30
min8_cov50	Min-8 + >=50% coverage	Top-percentile	5	Borda	0.0	0.0	0.0	30
min8_cov50	Min-8 + >=50% coverage	Top-percentile	10	Borda	0.0	0.0	0.07720588235294118	30
min8_cov50	Min-8 + >=50% coverage	Top-percentile	20	Borda	0.0	-0.01666666666666667	0.09226190476190475	30
min8_cov70	Min-8 + >=70% coverage	Top-N	10	Borda	0.0	0.0	0.0	30
min8_cov70	Min-8 + >=70% coverage	Top-N	20	Borda	0.0	0.0	0.0	30
min8_cov70	Min-8 + >=70% coverage	Top-N	50	Borda	0.0	0.0	0.0	30
min8_cov70	Min-8 + >=70% coverage	Top-percentile	1	Borda	0.0	0.0	0.0	30
min8_cov70	Min-8 + >=70% coverage	Top-percentile	5	Borda	0.0	0.0	0.0	30
min8_cov70	Min-8 + >=70% coverage	Top-percentile	10	Borda	0.0	0.0	0.0	30
min8_cov70	Min-8 + >=70% coverage	Top-percentile	20	Borda	0.0	0.0	0.0	30
min8_cov80	Min-8 + >=80% coverage	Top-N	10	Borda	0.0	0.0	0.0	30
min8_cov80	Min-8 + >=80% coverage	Top-N	20	Borda	0.0	0.0	0.0	30
min8_cov80	Min-8 + >=80% coverage	Top-N	50	Borda	0.0	0.0	0.0	30
min8_cov80	Min-8 + >=80% coverage	Top-percentile	1	Borda	0.0	0.0	0.0	30
min8_cov80	Min-8 + >=80% coverage	Top-percentile	5	Borda	0.0	0.0	0.0	30
min8_cov80	Min-8 + >=80% coverage	Top-percentile	10	Borda	0.0	0.0	0.0	30
min8_cov80	Min-8 + >=80% coverage	Top-percentile	20	Borda	0.0	0.0	0.0	30
