endpoint	endpoint_label	match_scope	match_scope_label	top_type	cutoff	ranking_method	ranking_label	ranking_column	ranking_direction	n_patients	median_delta_hit_rate_vs_ic50	mean_delta_hit_rate_vs_ic50	median_delta_hits_vs_ic50	sum_delta_hits_vs_ic50	patients_better_than_ic50	patients_same_as_ic50	patients_worse_than_ic50	median_method_hit_rate	median_ic50_hit_rate
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	10	borda	Borda	Borda_Rank	lower_better	30	0.0	-0.006098356407953933	0.0	6	8	14	8	0.24415204678362573	0.2426470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	10	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.029159121615037618	0.0	4	10	11	9	0.2899159663865546	0.2426470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	10	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.027490140914558734	0.0	8	13	7	10	0.2857142857142857	0.2426470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	10	net_degree	Network degree	Net_Degree	higher_better	30	0.02777777777777779	0.062339849792400606	0.5	8	15	5	10	0.3431372549019608	0.2426470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	10	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.024465453657134907	0.0	7	13	8	9	0.3333333333333333	0.2426470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	10	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.04870349975276613	0.0	11	13	8	9	0.36231884057971014	0.2426470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	10	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	-0.03235603864086836	0.0	-4	11	8	11	0.21764705882352942	0.2426470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	10	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.021739130434782622	0.06515258443714494	0.5	7	15	8	7	0.3333333333333333	0.2426470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	20	borda	Borda	Borda_Rank	lower_better	30	0.0	0.042752414486160614	0.0	19	14	8	8	0.2863636363636364	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	20	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.06477732793522267	0.04179174152084369	1.0	20	17	5	8	0.3015151515151515	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	20	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.02204331587458522	0.0	20	14	7	9	0.27884615384615385	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	20	net_degree	Network degree	Net_Degree	higher_better	30	0.03598484848484848	0.03900179009312136	1.0	10	17	3	10	0.2967032967032967	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	20	net_impact	Network impact	Net_Impact	higher_better	30	0.04060150375939847	0.03321591377318931	1.0	11	16	5	9	0.2761904761904762	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	20	net_strength	Network strength	Net_Strength	higher_better	30	0.03809523809523807	0.02969583907664403	1.0	8	16	5	9	0.2761904761904762	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	20	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	-0.0009066541729080428	0.0	6	12	8	10	0.2365967365967366	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	20	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.07147147147147145	0.051365709972521115	1.0	12	16	7	7	0.3333333333333333	0.2
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	30	borda	Borda	Borda_Rank	lower_better	30	0.04423076923076924	0.04410216856694041	1.0	33	18	5	7	0.26785714285714285	0.2222222222222222
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	30	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.08140756302521009	0.05198536023357967	1.0	34	20	3	7	0.28888888888888886	0.2222222222222222
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	30	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.030647367127287144	0.0	26	14	6	10	0.25	0.2222222222222222
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	30	net_degree	Network degree	Net_Degree	higher_better	30	0.024999999999999994	0.04366633529784181	0.5	28	15	5	10	0.2596153846153846	0.2222222222222222
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	30	net_impact	Network impact	Net_Impact	higher_better	30	0.030023547880690754	0.05398158487945583	1.0	32	16	5	9	0.2669683257918552	0.2222222222222222
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	30	net_strength	Network strength	Net_Strength	higher_better	30	0.030023547880690754	0.0497976124399053	1.0	29	16	5	9	0.25	0.2222222222222222
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	30	net_wci	Network WCI	Net_WCI	higher_better	30	0.019819466248037695	0.031434066911560095	1.0	23	16	3	11	0.24107142857142858	0.2222222222222222
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	30	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.03888888888888889	0.030932837797095304	1.0	13	16	6	8	0.25	0.2222222222222222
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	40	borda	Borda	Borda_Rank	lower_better	30	0.05827702702702703	0.053861240051863775	1.5	46	20	4	6	0.27597903176071537	0.23240589198036007
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	40	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.042307692307692296	0.05312675981560714	1.0	39	18	5	7	0.2653846153846154	0.23240589198036007
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	40	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.028006267136701915	0.04291450833058048	1.5	36	16	6	8	0.2805383022774327	0.23240589198036007
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	40	net_degree	Network degree	Net_Degree	higher_better	30	0.052777777777777785	0.05588498717423961	1.0	42	19	2	9	0.2697505197505198	0.23240589198036007
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	percent	40	net_impact	Network impact	Net_Impact	higher_better	30	0.05334281650071124	0.06312992842238281	1.0	49	18	3	9	0.2735966735966736	0.23240589198036007
