database	database_label	match_scope	criterion_label	supported_candidates	total_candidates	supported_fraction
CEDAR	CEDAR	relaxed_min8_peptide	Relaxed min-8 peptide match	542	2288	0.2368881118881119
IEDB	IEDB	relaxed_min8_peptide	Relaxed min-8 peptide match	545	2288	0.2381993006993007
TSNAdb_v2	TSNAdb v2.0	relaxed_min8_peptide	Relaxed min-8 peptide match	5	2288	0.0021853146853146
CEDAR	CEDAR	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	189	2288	0.0826048951048951
IEDB	IEDB	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	192	2288	0.0839160839160839
TSNAdb_v2	TSNAdb v2.0	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	1	2288	0.0004370629370629
CEDAR	CEDAR	relaxed_min8_peptide_cov70	Relaxed min-8 + ≥70% longer-peptide coverage	40	2288	0.0174825174825174
IEDB	IEDB	relaxed_min8_peptide_cov70	Relaxed min-8 + ≥70% longer-peptide coverage	41	2288	0.0179195804195804
TSNAdb_v2	TSNAdb v2.0	relaxed_min8_peptide_cov70	Relaxed min-8 + ≥70% longer-peptide coverage	0	2288	0.0
CEDAR	CEDAR	relaxed_min8_peptide_cov80	Relaxed min-8 + ≥80% longer-peptide coverage	14	2288	0.0061188811188811
IEDB	IEDB	relaxed_min8_peptide_cov80	Relaxed min-8 + ≥80% longer-peptide coverage	14	2288	0.0061188811188811
TSNAdb_v2	TSNAdb v2.0	relaxed_min8_peptide_cov80	Relaxed min-8 + ≥80% longer-peptide coverage	0	2288	0.0
