match_scope	top_type	cutoff	ranking_method	ranking_label	n_patients	median_delta_hit_rate_vs_ic50_pct_points	patients_better_than_ic50	patients_same_as_ic50	patients_worse_than_ic50
relaxed_min8_peptide	percent	10	borda	Borda	30	0.0	8	14	8
relaxed_min8_peptide	percent	10	depmap_survivability	DepMap survivability	30	0.0	10	11	9
relaxed_min8_peptide	percent	10	net_betweenness	Network betweenness	30	0.0	13	7	10
relaxed_min8_peptide	percent	10	net_degree	Network degree	30	2.777777777777779	15	5	10
relaxed_min8_peptide	percent	10	net_impact	Network impact	30	0.0	13	8	9
relaxed_min8_peptide	percent	10	net_strength	Network strength	30	0.0	13	8	9
relaxed_min8_peptide	percent	10	net_wci	Network WCI	30	0.0	11	8	11
relaxed_min8_peptide	percent	20	borda	Borda	30	0.0	14	8	8
relaxed_min8_peptide	percent	20	depmap_survivability	DepMap survivability	30	6.477732793522267	17	5	8
relaxed_min8_peptide	percent	20	net_betweenness	Network betweenness	30	0.0	14	7	9
relaxed_min8_peptide	percent	20	net_degree	Network degree	30	3.598484848484848	17	3	10
relaxed_min8_peptide	percent	20	net_impact	Network impact	30	4.060150375939847	16	5	9
relaxed_min8_peptide	percent	20	net_strength	Network strength	30	3.809523809523807	16	5	9
relaxed_min8_peptide	percent	20	net_wci	Network WCI	30	0.0	12	8	10
relaxed_min8_peptide	percent	30	borda	Borda	30	4.423076923076924	18	5	7
relaxed_min8_peptide	percent	30	depmap_survivability	DepMap survivability	30	8.140756302521009	20	3	7
relaxed_min8_peptide	percent	30	net_betweenness	Network betweenness	30	0.0	14	6	10
relaxed_min8_peptide	percent	30	net_degree	Network degree	30	2.4999999999999996	15	5	10
relaxed_min8_peptide	percent	30	net_impact	Network impact	30	3.0023547880690753	16	5	9
relaxed_min8_peptide	percent	30	net_strength	Network strength	30	3.0023547880690753	16	5	9
relaxed_min8_peptide	percent	30	net_wci	Network WCI	30	1.9819466248037696	16	3	11
relaxed_min8_peptide	percent	40	borda	Borda	30	5.827702702702703	20	4	6
relaxed_min8_peptide	percent	40	depmap_survivability	DepMap survivability	30	4.23076923076923	18	5	7
relaxed_min8_peptide	percent	40	net_betweenness	Network betweenness	30	2.8006267136701917	16	6	8
relaxed_min8_peptide	percent	40	net_degree	Network degree	30	5.277777777777779	19	2	9
relaxed_min8_peptide	percent	40	net_impact	Network impact	30	5.334281650071124	18	3	9
relaxed_min8_peptide	percent	40	net_strength	Network strength	30	5.823068309070548	17	4	9
relaxed_min8_peptide	percent	40	net_wci	Network WCI	30	1.3157894736842104	15	5	10
relaxed_min8_peptide	percent	50	borda	Borda	30	2.2657450076804917	17	3	10
relaxed_min8_peptide	percent	50	depmap_survivability	DepMap survivability	30	4.406055900621118	16	3	11
relaxed_min8_peptide	percent	50	net_betweenness	Network betweenness	30	1.645225136071253	16	2	12
relaxed_min8_peptide	percent	50	net_degree	Network degree	30	3.2574152542372863	18	1	11
relaxed_min8_peptide	percent	50	net_impact	Network impact	30	3.4855769230769216	18	3	9
relaxed_min8_peptide	percent	50	net_strength	Network strength	30	2.9869067103109646	16	5	9
relaxed_min8_peptide	percent	50	net_wci	Network WCI	30	0.0	14	2	14
relaxed_min8_peptide	percent	60	borda	Borda	30	0.48076923076923184	15	6	9
relaxed_min8_peptide	percent	60	depmap_survivability	DepMap survivability	30	0.0	13	9	8
relaxed_min8_peptide	percent	60	net_betweenness	Network betweenness	30	0.0	14	4	12
relaxed_min8_peptide	percent	60	net_degree	Network degree	30	0.0	14	5	11
relaxed_min8_peptide	percent	60	net_impact	Network impact	30	0.4854368932038833	15	4	11
relaxed_min8_peptide	percent	60	net_strength	Network strength	30	0.48076923076923184	15	4	11
relaxed_min8_peptide	percent	60	net_wci	Network WCI	30	0.0	12	4	14
