database	database_label	match_scope	criterion_label	supported_candidates	total_candidates	supported_fraction
Any	Any database	relaxed_min8_peptide	Relaxed min-8 peptide match	545	2288	0.2381993006993007
Any	Any database	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	192	2288	0.08391608391608392
Any	Any database	relaxed_min8_peptide_cov70	Relaxed min-8 + ≥70% longer-peptide coverage	41	2288	0.01791958041958042
Any	Any database	relaxed_min8_peptide_cov80	Relaxed min-8 + ≥80% longer-peptide coverage	14	2288	0.006118881118881119
CEDAR	CEDAR	relaxed_min8_peptide	Relaxed min-8 peptide match	542	2288	0.2368881118881119
CEDAR	CEDAR	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	189	2288	0.0826048951048951
CEDAR	CEDAR	relaxed_min8_peptide_cov70	Relaxed min-8 + ≥70% longer-peptide coverage	40	2288	0.017482517482517484
CEDAR	CEDAR	relaxed_min8_peptide_cov80	Relaxed min-8 + ≥80% longer-peptide coverage	14	2288	0.006118881118881119
IEDB	IEDB	relaxed_min8_peptide	Relaxed min-8 peptide match	545	2288	0.2381993006993007
IEDB	IEDB	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	192	2288	0.08391608391608392
IEDB	IEDB	relaxed_min8_peptide_cov70	Relaxed min-8 + ≥70% longer-peptide coverage	41	2288	0.01791958041958042
IEDB	IEDB	relaxed_min8_peptide_cov80	Relaxed min-8 + ≥80% longer-peptide coverage	14	2288	0.006118881118881119
TSNAdb_v2	TSNAdb v2.0	relaxed_min8_peptide	Relaxed min-8 peptide match	5	2288	0.0021853146853146855
TSNAdb_v2	TSNAdb v2.0	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	1	2288	0.00043706293706293706
TSNAdb_v2	TSNAdb v2.0	relaxed_min8_peptide_cov70	Relaxed min-8 + ≥70% longer-peptide coverage	0	2288	0.0
TSNAdb_v2	TSNAdb v2.0	relaxed_min8_peptide_cov80	Relaxed min-8 + ≥80% longer-peptide coverage	0	2288	0.0
