sample_name,fastq_R1,fastq_R2,datatype,lane
Sample_bN2,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN2DNA/bN2DNA_EKDN230058816-1A_H2CMHDSXC_L3_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN2DNA/bN2DNA_EKDN230058816-1A_H2CMHDSXC_L3_2.fq.gz,CancerDNA,L3
Sample_bN2,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN2DNAbl/bN2DNAbl_EKDN230058822-1A_222T7MLT4_L1_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN2DNAbl/bN2DNAbl_EKDN230058822-1A_222T7MLT4_L1_2.fq.gz,NormalDNA,L1
Sample_bN2,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN2DNAbl/bN2DNAbl_EKDN230058822-1A_222VCTLT4_L7_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN2DNAbl/bN2DNAbl_EKDN230058822-1A_222VCTLT4_L7_2.fq.gz,NormalDNA,L7
Sample_bN2,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN2DNAbl/bN2DNAbl_EKDN230058822-1A_H2CMHDSXC_L3_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN2DNAbl/bN2DNAbl_EKDN230058822-1A_H2CMHDSXC_L3_2.fq.gz,NormalDNA,L3
Sample_bN2,/nasdata/Omics/RNA_Seq_projects/Nittykoski_may_2023/bN2-2_1.fastq.gz,/nasdata/Omics/RNA_Seq_projects/Nittykoski_may_2023/bN2-2_2.fastq.gz,CancerRNA,LRNA
Sample_bN3,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN3DNA/bN3DNA_EKDN230058817-1A_222T7MLT4_L1_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN3DNA/bN3DNA_EKDN230058817-1A_222T7MLT4_L1_2.fq.gz,CancerDNA,L1
Sample_bN3,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN3DNA/bN3DNA_EKDN230058817-1A_222VCTLT4_L7_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN3DNA/bN3DNA_EKDN230058817-1A_222VCTLT4_L7_2.fq.gz,CancerDNA,L7
Sample_bN3,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN3DNA/bN3DNA_EKDN230058817-1A_H2CMHDSXC_L3_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN3DNA/bN3DNA_EKDN230058817-1A_H2CMHDSXC_L3_2.fq.gz,CancerDNA,L3
Sample_bN3,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN3DNAbl/bN3DNAbl_EKDN230058823-1A_H2CMHDSXC_L3_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN3DNAbl/bN3DNAbl_EKDN230058823-1A_H2CMHDSXC_L3_2.fq.gz,NormalDNA,L3
Sample_bN3,/nasdata/Omics/RNA_Seq_projects/Nittykoski_may_2023/bN3-2_1.fastq.gz,/nasdata/Omics/RNA_Seq_projects/Nittykoski_may_2023/bN3-2_2.fastq.gz,CancerRNA,LRNA
Sample_bN4,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNA/bN4DNA_EKDN230058818-1A_H2CMHDSXC_L3_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNA/bN4DNA_EKDN230058818-1A_H2CMHDSXC_L3_2.fq.gz,CancerDNA,L3
Sample_bN4,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNAbl/bN4DNAbl_EKDN230058820-1A_222T7MLT4_L1_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNAbl/bN4DNAbl_EKDN230058820-1A_222T7MLT4_L1_2.fq.gz,NormalDNA,L1
Sample_bN4,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNAbl/bN4DNAbl_EKDN230058820-1A_H27YKDSXC_L4_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNAbl/bN4DNAbl_EKDN230058820-1A_H27YKDSXC_L4_2.fq.gz,NormalDNA,L4
Sample_bN4,/nasdata/Omics/RNA_Seq_projects/Nittykoski_may_2023/bN4_1.fastq.gz,/nasdata/Omics/RNA_Seq_projects/Nittykoski_may_2023/bN4_2.fastq.gz,CancerRNA,LRNA
Sample_b040,/nasdata/lmannino/Minna_22_11_2024/X204SC24100534-Z01-F001/01.RawData/b040tDNA/b040tDNA_EKDN240059174-1A_22F7NTLT4_L1_1.fq.gz,/nasdata/lmannino/Minna_22_11_2024/X204SC24100534-Z01-F001/01.RawData/b040tDNA/b040tDNA_EKDN240059174-1A_22F7NTLT4_L1_2.fq.gz,CancerDNA,L1
Sample_b040,/nasdata/lmannino/Minna_22_11_2024/X204SC24100534-Z01-F001/01.RawData/b040tDNA/b040tDNA_EKDN240059174-1A_22TYGGLT3_L7_1.fq.gz,/nasdata/lmannino/Minna_22_11_2024/X204SC24100534-Z01-F001/01.RawData/b040tDNA/b040tDNA_EKDN240059174-1A_22TYGGLT3_L7_2.fq.gz,CancerDNA,L7
