sample_name,fastq_R1,fastq_R2,datatype,lane
Sample_aN1V1,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1V1DNA/aN1V1DNA_EKDN230058810-1A_H2CMHDSXC_L3_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1V1DNA/aN1V1DNA_EKDN230058810-1A_H2CMHDSXC_L3_2.fq.gz,CancerDNA,L3
Sample_aN1V1,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1DNAbl/aN1DNAbl_EKDN230058821-1A_222T7MLT4_L1_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1DNAbl/aN1DNAbl_EKDN230058821-1A_222T7MLT4_L1_2.fq.gz,NormalDNA,L1
Sample_aN1V1,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1DNAbl/aN1DNAbl_EKDN230058821-1A_H27YKDSXC_L4_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1DNAbl/aN1DNAbl_EKDN230058821-1A_H27YKDSXC_L4_2.fq.gz,NormalDNA,L4
Sample_aN1V2,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1V2DNA/aN1V2DNA_EKDN230058811-1A_H2CMHDSXC_L3_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1V2DNA/aN1V2DNA_EKDN230058811-1A_H2CMHDSXC_L3_2.fq.gz,CancerDNA,L3
Sample_aN1V2,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1DNAbl/aN1DNAbl_EKDN230058821-1A_222T7MLT4_L1_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1DNAbl/aN1DNAbl_EKDN230058821-1A_222T7MLT4_L1_2.fq.gz,NormalDNA,L1
Sample_aN1V2,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1DNAbl/aN1DNAbl_EKDN230058821-1A_H27YKDSXC_L4_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1DNAbl/aN1DNAbl_EKDN230058821-1A_H27YKDSXC_L4_2.fq.gz,NormalDNA,L4
Sample_bN4V1,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4V1DNA/bN4V1DNA_EKDN230058812-1A_H2CMHDSXC_L3_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4V1DNA/bN4V1DNA_EKDN230058812-1A_H2CMHDSXC_L3_2.fq.gz,CancerDNA,L3
Sample_bN4V1,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNAbl/bN4DNAbl_EKDN230058820-1A_222T7MLT4_L1_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNAbl/bN4DNAbl_EKDN230058820-1A_222T7MLT4_L1_2.fq.gz,NormalDNA,L1
Sample_bN4V1,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNAbl/bN4DNAbl_EKDN230058820-1A_H27YKDSXC_L4_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNAbl/bN4DNAbl_EKDN230058820-1A_H27YKDSXC_L4_2.fq.gz,NormalDNA,L4
Sample_bN4V2,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4V2DNA/bN4V2DNA_EKDN230058813-1A_H2CMHDSXC_L3_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4V2DNA/bN4V2DNA_EKDN230058813-1A_H2CMHDSXC_L3_2.fq.gz,CancerDNA,L3
Sample_bN4V2,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNAbl/bN4DNAbl_EKDN230058820-1A_222T7MLT4_L1_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNAbl/bN4DNAbl_EKDN230058820-1A_222T7MLT4_L1_2.fq.gz,NormalDNA,L1
Sample_bN4V2,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNAbl/bN4DNAbl_EKDN230058820-1A_H27YKDSXC_L4_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNAbl/bN4DNAbl_EKDN230058820-1A_H27YKDSXC_L4_2.fq.gz,NormalDNA,L4
Sample_aN1,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1DNA/aN1DNA_EKDN230058819-1A_H2CMHDSXC_L3_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1DNA/aN1DNA_EKDN230058819-1A_H2CMHDSXC_L3_2.fq.gz,CancerDNA,L3
Sample_aN1,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1DNAbl/aN1DNAbl_EKDN230058821-1A_222T7MLT4_L1_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1DNAbl/aN1DNAbl_EKDN230058821-1A_222T7MLT4_L1_2.fq.gz,NormalDNA,L1
Sample_aN1,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1DNAbl/aN1DNAbl_EKDN230058821-1A_H27YKDSXC_L4_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/aN1DNAbl/aN1DNAbl_EKDN230058821-1A_H27YKDSXC_L4_2.fq.gz,NormalDNA,L4
Sample_bN4,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNA/bN4DNA_EKDN230058818-1A_H2CMHDSXC_L3_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNA/bN4DNA_EKDN230058818-1A_H2CMHDSXC_L3_2.fq.gz,CancerDNA,L3
Sample_bN4,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNAbl/bN4DNAbl_EKDN230058820-1A_222T7MLT4_L1_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNAbl/bN4DNAbl_EKDN230058820-1A_222T7MLT4_L1_2.fq.gz,NormalDNA,L1
Sample_bN4,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNAbl/bN4DNAbl_EKDN230058820-1A_H27YKDSXC_L4_1.fq.gz,/nasdata/lmannino/Minna_Genomics/X204SC23123384-Z01-F001/01.RawData/bN4DNAbl/bN4DNAbl_EKDN230058820-1A_H27YKDSXC_L4_2.fq.gz,NormalDNA,L4
